committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00428623,GOOGLE LLC NETPAC,2017,M10,201710209075859356,23,D2853,1188895,CCM,CAMPAIGN COMMITTEE,C00450049,C00450049,PAUL TONKO FOR CONGRESS,NY,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-09-26 00:00:00,1000.00,H,HOUSE,20,H8NY21203,"TONKO, PAUL DAVID",PAUL DAVID,TONKO,,,,NY,NEW YORK,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-21 01:52:01.865,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4102020171458743651,ALBANY,122061350,CONTRIBUTIONS,,2018,SB,4102020171458778364,http://docquery.fec.gov/cgi-bin/fecimg/?201710209075859356,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2017,M10,201710209075859357,23,D2835,1188895,CCM,CAMPAIGN COMMITTEE,C00454694,C00454694,MARCIA FUDGE FOR CONGRESS,OH,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-09-21 00:00:00,1000.00,H,HOUSE,11,H8OH11141,"FUDGE, MARCIA",MARCIA,FUDGE,,,,OH,OHIO,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-21 01:51:49.731,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4102020171458743651,UNIVERSITY HEIGHTS,441183647,CONTRIBUTIONS,,2018,SB,4102020171458778370,http://docquery.fec.gov/cgi-bin/fecimg/?201710209075859357,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2017,M10,201710209075859357,23,D2836,1188895,CCM,CAMPAIGN COMMITTEE,C00343871,C00343871,SCHIFF FOR CONGRESS,CA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-09-21 00:00:00,1000.00,H,HOUSE,28,H0CA27085,"SCHIFF, ADAM",ADAM,SCHIFF,,,,CA,CALIFORNIA ,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-21 01:52:01.865,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4102020171458743651,LOS ANGELES,900175864,CONTRIBUTIONS,,2018,SB,4102020171458778374,http://docquery.fec.gov/cgi-bin/fecimg/?201710209075859357,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2017,M10,201710209075859358,23,D2847,1188895,CCM,CAMPAIGN COMMITTEE,C00497115,C00497115,ROTHFUS FOR CONGRESS,PA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-09-27 00:00:00,1000.00,H,HOUSE,12,H0PA04220,"ROTHFUS, KEITH",KEITH,ROTHFUS,,,,PA,PENNSYLVANIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-21 01:51:58.337,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4102020171458743651,SEWICKLEY,151430435,CONTRIBUTIONS,,2018,SB,4102020171458778380,http://docquery.fec.gov/cgi-bin/fecimg/?201710209075859358,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2017,M10,201710209075859359,23,D2838,1188895,CCM,CAMPAIGN COMMITTEE,C00415331,C00415331,CLARKE FOR CONGRESS,NY,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-09-21 00:00:00,1000.00,H,HOUSE,09,H4NY11138,"CLARKE, YVETTE",YVETTE,CLARKE,,,,NY,NEW YORK,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-21 01:51:57.163,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4102020171458743651,HOLLIS,11412,CONTRIBUTIONS,,2018,SB,4102020171458778384,http://docquery.fec.gov/cgi-bin/fecimg/?201710209075859359,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2017,M10,201710209075859360,23,D2829,1188895,CCM,CAMPAIGN COMMITTEE,C00254185,C00254185,GENE GREEN CONGRESSIONAL CAMPAIGN,TX,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-09-21 00:00:00,1000.00,H,HOUSE,29,H2TX29030,"GREEN, GENE",GENE,GREEN,,,,TX,TEXAS,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-21 01:51:58.337,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4102020171458743651,HOUSTON,772226128,CONTRIBUTIONS,,2018,SB,4102020171458778388,http://docquery.fec.gov/cgi-bin/fecimg/?201710209075859360,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2017,M10,201710209075859360,23,D2839,1188895,CCM,CAMPAIGN COMMITTEE,C00501643,C00501643,DAVID ROUZER FOR CONGRESS,NC,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2017-09-21 00:00:00,1000.00,H,HOUSE,07,H2NC07096,"ROUZER, DAVID C.",DAVID,ROUZER,C.,,,NC,NORTH CAROLINA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-21 01:51:54.79,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4102020171458743651,SMITHFIELD,27577,CONTRIBUTIONS,,2018,SB,4102020171458778390,http://docquery.fec.gov/cgi-bin/fecimg/?201710209075859360,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2018,M10,201810199125655576,23,D3200,1275513,CCM,CAMPAIGN COMMITTEE,C00556365,C00556365,KATKO FOR CONGRESS,VA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2018-09-18 00:00:00,1000.00,H,HOUSE,24,H4NY24073,"KATKO, JOHN",JOHN,KATKO,,,,NY,NEW YORK,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-11-02 02:38:01.833,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4101920181600186460,ALEXANDRIA,223145404,CONTRIBUTIONS,,2018,SB,4110120181608405464,http://docquery.fec.gov/cgi-bin/fecimg/?201810199125655576,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2018,M10,201810199125655576,23,D3210,1275513,CCM,CAMPAIGN COMMITTEE,C00454694,C00454694,MARCIA FUDGE FOR CONGRESS,OH,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2018-09-18 00:00:00,1000.00,H,HOUSE,11,H8OH11141,"FUDGE, MARCIA",MARCIA,FUDGE,,,,OH,OHIO,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-11-02 02:38:01.834,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4101920181600186460,UNIVERSITY HEIGHTS,441183647,CONTRIBUTIONS,,2018,SB,4110120181608405466,http://docquery.fec.gov/cgi-bin/fecimg/?201810199125655576,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2018,M10,201810199125655577,23,D3220,1275513,CCM,CAMPAIGN COMMITTEE,C00495952,C00495952,SCHNEIDER FOR CONGRESS,IL,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,,,2018-09-18 00:00:00,1000.00,H,HOUSE,10,H2IL10068,"SCHNEIDER, BRADLEY",BRADLEY,SCHNEIDER,,,,IL,ILLINOIS,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-11-02 02:38:01.834,,,,0.00,,,,,,,,,,,,Q,C,B,F3X,4101920181600186460,DEERFIELD,60015,CONTRIBUTIONS,,2018,SB,4110120181608405468,http://docquery.fec.gov/cgi-bin/fecimg/?201810199125655577,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
